Mercury Protocol, 0, 352, 3014, 5, 24, 4749479
MyWish, 471, 0, 1209, 5, 99, 2670000
Starbase, 18506, 0, 25364, 5, 88, 8842000
Flixxo, 10238, 63, 3604, 7, 39, 4731021
Divi Project, 13480, 0, 3870, 7, 130, 2592064
Nitro Pre-sale, 21506, 1027, 11115, 7, 7, 2518419
ARToken, 6057, 0, 2805, 7, 9, 2813147
Science, 0, 0, 0, 2, 12, 12232781
Brickblock, 27644, 0, 3025, 8, 10, 4789309
CyberMiles, 8898, 51, 3121, 6, 100, 30881582
Time New Bank, 0, 0, 104, 3, 100, 14360000
AppCoins Pre-sale, 8800, 224, 4059, 7, 10, 1800000
UTRUST, 10624, 0, 9095, 6, 100, 21000000
Quantstamp, 0, 0, 9621, 5, 100, 31320000
Hydrominer, 3217, 0, 2584, 4, 4, 2955708
MicroMoney, 559007, 0, 170498, 8, 35, 10541585
B2BX, 7583, 0, 850, 5, 27, 8078602
Oracles Network Pre-sale, 0, 0, 3254, 4, 100, 12641032
EventChain, 692, 630, 7404, 7, 6, 772896
Oracles Network, 0, 0, 3254, 4, 100, 12641032
Privatix, 8848, 69, 2075, 10, 16, 2391939
Quantstamp Pre-sale, 0, 0, 9624, 5, 72, 22320000
WAX Pre-sale, 37073, 465, 4922, 5, 100, 46480000
Soma, 2708, 0, 3290, 7, 15, 6049621
Genesis Vision, 0, 488, 5103, 8, 12, 2836732
Matryx, 9993, 0, 1579, 5, 22, 1984347
Publica, 6120, 1163, 6809, 5, 105, 1046210
indaHash Pre-sale, 15205, 70, 3350, 8, 100, 4799680
Grid+, 0, 0, 2825, 4, 36, 32226790
GoldMint, 80143, 124, 1899, 7, 17, 6935639
Ripio Credit Network, 0, 0, 10634, 4, 100, 37863045
Spectre Pre-sale, 781, 194, 6815, 7, 22, 6582114
Ignis, 0, 0, 3882, 1, 100, 21600000
Raiden Network, 0, 1322, 6763, 6, 100, 33407260
Dentacoin, 26861, 239, 2622, 7, 7, 1923507
CarTaxi, 11765, 0, 6748, 7, 13, 8710939
ATLANT, 13146, 191, 2887, 8, 10, 6663530
Enjin Coin, 52765, 1649, 13767, 8, 92, 22959609
TokenStars, 1026, 0, 1519, 6, 65, 4901220
Wolk, 0, 67, 622, 5, 17, 2568720
Aeron, 2031, 161, 2260, 8, 16, 4897723
CryptoPay, 0, 6, 4721, 7, 28, 18148220
Horizon State, 2065, 251, 4630, 6, 1, 893520
Etherparty, 1877, 0, 5779, 7, 52, 33732274
Snip, 2750, 0, 2617, 7, 59, 4972669
Swarm Fund, 0, 0, 4854, 3, 10, 5370258
BLOCKv, 1035, 136, 1684, 6, 54, 21599100
Jibrel Network Pre-sale, 0, 70, 1023, 7, 36, 3214356
WePower Pre-sale, 3949, 0, 3513, 7, 60, 3000000
UnikoinGold, 4342, 0, 18288, 3, 34, 29436000
COBINHOOD, 16270, 0, 3772, 6, 52, 13078406
Electroneum, 61650, 0, 24503, 4, 100, 39934610
Ambrosus, 3448, 0, 5282, 7, 33, 32507330
Hashrush, 2533, 50, 4400, 7, 8, 1737000
Gimli, 13537, 0, 1809, 6, 29, 1717455
Qvolta, 10354, 111, 2801, 7, 16, 729652
Sand Coin, 524, 0, 1616, 4, 48, 1706100
Spheris, 0, 17, 1427, 6, 10, 306337
DOVU, 1760, 0, 4765, 6, 23, 6644682
HEROcoin, 6656, 200, 3527, 6, 13, 2021034
eidoo, 21649, 0, 12834, 4, 54, 27676992
Change Bank, 11777, 0, 5237, 6, 40, 15963255
Request Network, 769, 3089, 6838, 8, 100, 33600000
Paragon, 218715, 236, 2975, 6, 6, 6000000
Credit Protocol, 1410, 199, 1877, 7, 100, 15300000
Doc.ai, 501, 135, 1755, 6, 35, 11158215
bitJob, 7740, 0, 6465, 6, 23, 2726424
CrowdWiz Pre-sale, 13054, 33, 6526, 8, 27, 5387300
DLSacademy, 0, 0, 1072, 6, 3, 93060
Streamr, 0, 0, 6628, 2, 100, 27000000
Ties.Network, 11682, 90, 8519, 7, 19, 6399760
Anryze, 6145, 0, 8401, 5, 29, 1759099
AirSwap, 1891, 0, 6383, 6, 100, 12600000
LAToken, 27257, 0, 4981, 5, 47, 18880673
Maecenas, 623, 0, 1235, 4, 81, 15375432
Aion Pre-sale, 283, 0, 11929, 7, 54, 8075700
DomRaider, 4595, 0, 6313, 6, 100, 67200000
Red Pulse, 0, 2891, 12237, 3, 100, 14508923
PayPie, 1576, 215, 3830, 6, 100, 26000000
PayPie Pre-sale, 1576, 215, 3830, 6, 100, 26000000
AirToken, 0, 262, 4555, 6, 100, 15000000
Auctus Pre-sale, 1418, 0, 3620, 5, 1, 282610
Genesis Vision Pre-sale, 0, 490, 5109, 8, 73, 1450307
Wanchain, 8303, 986, 8147, 6, 100, 35990000
Real, 0, 0, 3451, 7, 32, 10604571
ALIS, 0, 0, 8166, 3, 10, 3705000
Internxt, 0, 0, 2034, 4, 1, 220800
Centra, 13275, 0, 15818, 8, 100, 26100000
Kin, 0, 1948, 7017, 4, 65, 48594816
Cindicator, 2558, 0, 12166, 5, 100, 15000000
Modum, 0, 2338, 4357, 3, 82, 13350000
ICON, 2241, 0, 6200, 7, 100, 42750000
ICON Pre-sale, 2241, 0, 6200, 7, 100, 42750000
ChainLink, 0, 0, 5848, 1, 100, 32000000
Substratum, 0, 2404, 9359, 6, 31, 13800000
Streamr Pre-sale, 0, 0, 6630, 2, 100, 5200000
KICKICO, 20400, 0, 9594, 5, 169, 21581925
Enjin Coin Pre-sale, 52765, 1649, 43, 8, 100, 12000000
KyberNetwork, 0, 0, 26364, 4, 100, 46000000
Social, 0, 169, 4738, 7, 35, 5243080
Privatix Pre-sale, 8848, 69, 2076, 10, 93, 370000
Change Bank Pre-sale, 11777, 0, 5238, 6, 66, 9878150
Blackmoon, 7062, 1033, 4164, 9, 100, 30000000
Enigma, 1451, 1270, 22179, 7, 100, 45000000
Rivetz, 4990, 0, 7081, 4, 93, 18653920
Filecoin, 0, 0, 13548, 1, 643, 257000000
Indorse, 0, 0, 6170, 3, 62, 9247392
Hubii Network, 0, 0, 4045, 2, 14, 7130256
Aventus, 0, 652, 91693, 5, 100, 18780000
Viberate, 31554, 0, 13801, 6, 100, 12000000
Tron, 0, 0, 0, 0, 100, 70000000
Monetha, 6378, 1185, 9253, 8, 100, 35910000
Everex, 6029, 0, 7581, 6, 99, 25840000
ChronoLogic, 0, 0, 0, 4, 58, 7502120
DIMCOIN, 8538, 0, 0, 4, 104, 14005746
OPUS, 0, 441, 0, 4, 29, 5737250
DMarket Pre-sale, 2070, 1293, 4583, 7, 70, 10444810
Decentraland, 3935, 952, 7274, 5, 121, 24137000
Agrello, 0, 0, 8649, 3, 70, 30100000
BlockCAT, 0, 0, 5007, 1, 126, 6284400
0x, 0, 0, 37969, 3, 100, 24000000
Tierion, 552, 970, 9211, 5, 100, 25000000
Po.et, 0, 263, 2843, 5, 100, 10000000
Status Network, 5337, 0, 42006, 4, 120, 107664907
QASH, 6188, 0, 3013, 6, 100, 106400000
Zap Store, 2386, 256, 537, 8, 9, 2827944
ETHLend Pre-sale, 8296, 267, 4224, 5, 100, 600000
trade.io Pre-sale, 3228, 1, 3862, 7, 3, 11293951
Naga Pre-sale, 14672, 0, 1157, 6, 97, 15000000
WAX, 37095, 504, 5139, 5, 100, 9907200
Datum, 33793, 0, 32735, 4, 26, 7845954
BitClave, 0, 0, 18092, 7, 100, 25547000
TenX, 21900, 9026, 66598, 7, N/A, 80000000
Civic, 0, 4556, 0, 3, N/A, 33000000
SONM, 5025, 1452, 11990, 6, N/A, 42000000
ETHLend, 9897, 307, 4911, 7, 100, 17355333, 17400000
WaBi, 523, 0, 3910, 6, 100, 11500000, 11500000
Blockstack, 0, 0, 13743, 4, 17, 8780000, 52000000
DMarket, 2216, 1326, 5032, 7, 36, 19026768, 53300000
Simple Token, 8996, 0, 15189, 7, 109, 21728192, 20000000
Vezt, 15853, 0, 2982, 7, 9, 1378806, 15000000
CRYPTO20, 10541, 574, 8226, 7, 50, 37698373, 75000000
Sense, 2320, 35, 15021, 5, 100, 15000000, 15000000
PallyCoin, 6517, 36, 2110, 6, 17, 861408, 5000000
LockChain, 8887, 0, 2567, 5, 31, 4055130, 13200000
Genaro Network, 3592, 15, 598, 8, 38, 11362000, 29600000
Esports, 13793, 20, 1295, 7, 14, 5838211, 41200000
Paycent, 1477, 0, 1887, 8, 8, 15525000, 186300000
Snovio, 46707, 0, 2900, 6, 21, 2129106, 10000000
OmiseGo, 10259, 0, 103608, 4, 100, 25000000, 25000000
Playkey, 0, 89, 1943, 7, N/A, 10340040
Presearch, 1849, 0, 3, 4, N/A, 20500000
COMSA, 1770, 0, 5828, 6, N/A, 95372124
Dragonchain, 0, 0, 9344, 3, N/A, 13192840
Tokenlab Pre-sale, 77177, 0, 989, 7, N/A, 108670
Polkadot, 0, 0, 15759, 4, N/A, 145171723
Astronaut, 519, 0, 941, 3, N/A, 2352240
PowerLedger, 12608, 0, 27606, 7, N/A, 13240000
ICOS, 2871, 0, 3962, 5, N/A, 14945400
BitDice, 0, 292, 3148, 6, N/A, 8748793
BetKing, 0, 0, 2955, 3, N/A, 6497165
Centra Presale, 13476, 0, 16719, 2, N/A, 17414317
Lampix, 5113, 166, 2100, 4, N/A, 12112616
Tezos, 0, 5513, 32894, 4, N/A, 230533089
EOS, 3420, 0, 38015, 4, N/A, 196874404
OmiseGo, 10259, 0, 103628, 4, 100, 25000000, 25000000
